Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Sales_Bins
NASCAR Thunder 2004,PS2,2003.0,Racing,Electronic Arts,0.53,0.41,0.0,0.14,1.08,Muy Alto
SpongeBob SquarePants: Revenge of the Flying Dutchman,PS2,2002.0,Platform,THQ,0.53,0.41,0.0,0.14,1.08,Muy Alto
Imagine: Babysitters,DS,2008.0,Simulation,Ubisoft,0.63,0.35,0.0,0.1,1.08,Muy Alto
Namco Museum Battle Collection,PSP,2005.0,Misc,Sony Computer Entertainment,0.75,0.18,0.0,0.16,1.08,Muy Alto
Fisherman's Bass Club,PS2,2002.0,Sports,Agetec,0.53,0.41,0.0,0.14,1.08,Muy Alto
Empire: Total War,PC,2009.0,Strategy,Sega,0.01,0.97,0.0,0.1,1.08,Muy Alto
Virtua Fighter 5,PS3,2007.0,Fighting,Sega,0.29,0.51,0.08,0.2,1.08,Muy Alto
Dante's Inferno,PS3,2010.0,Action,Electronic Arts,0.64,0.28,0.04,0.13,1.08,Muy Alto
Toy Story 3: The Video Game,PS3,2010.0,Action,Disney Interactive Studios,0.51,0.4,0.0,0.16,1.08,Muy Alto
Joust,2600,1982.0,Platform,Atari,1.01,0.06,0.0,0.01,1.08,Muy Alto
Tom Clancy's Ghost Recon 2,PS2,2004.0,Shooter,Ubisoft,0.64,0.34,0.0,0.1,1.08,Muy Alto
Final Fantasy XIV: A Realm Reborn,PS3,2013.0,Role-Playing,Square Enix,0.37,0.3,0.28,0.13,1.08,Muy Alto
Forza Horizon 3,XOne,2016.0,Racing,Microsoft Game Studios,0.42,0.58,0.0,0.08,1.08,Muy Alto
Disney Infinity 2.0: Marvel Super Heroes,X360,2014.0,Action,Disney Interactive Studios,0.64,0.34,0.0,0.1,1.08,Muy Alto
Ready 2 Rumble Boxing,PS,1998.0,Sports,Midway Games,0.6,0.41,0.0,0.07,1.08,Muy Alto
Star Wars: The Force Unleashed,PSP,2008.0,Action,LucasArts,0.43,0.4,0.0,0.24,1.08,Muy Alto
Dragon Ball Z: Taiketsu,GBA,2003.0,Fighting,Atari,0.77,0.29,0.0,0.02,1.08,Muy Alto
Disney's Lilo & Stitch,GBA,2002.0,Platform,Ubisoft,0.77,0.29,0.0,0.02,1.08,Muy Alto
Star Fox: Assault,GC,2005.0,Shooter,Nintendo,0.68,0.18,0.19,0.03,1.08,Muy Alto
Plants vs. Zombies: Garden Warfare,X360,2014.0,Shooter,Electronic Arts,0.51,0.47,0.0,0.09,1.08,Muy Alto
The Simpsons Game,PSP,2007.0,Action,Electronic Arts,0.24,0.54,0.0,0.3,1.07,Muy Alto
Doko Demo Issyo,PS,1999.0,Misc,Sony Computer Entertainment,0.0,0.0,1.0,0.07,1.07,Muy Alto
LEGO Star Wars II: The Original Trilogy,DS,2006.0,Action,LucasArts,0.96,0.03,0.0,0.08,1.07,Muy Alto
Call of Duty 3,PS2,2006.0,Shooter,Activision,0.89,0.03,0.0,0.15,1.07,Muy Alto
FIFA Soccer 11,Wii,2010.0,Sports,Electronic Arts,0.26,0.69,0.0,0.12,1.07,Muy Alto
Imagine: Fashion Designer New York,DS,2008.0,Simulation,Ubisoft,0.65,0.32,0.0,0.1,1.07,Muy Alto
Prince of Persia,PS3,2008.0,Action,Ubisoft,0.47,0.4,0.03,0.17,1.07,Muy Alto
Championship Manager 99/00,PC,1999.0,Sports,Eidos Interactive,0.0,0.98,0.0,0.09,1.07,Muy Alto
Virtua Fighter,SAT,1994.0,Fighting,Sega,0.17,0.12,0.77,0.02,1.07,Muy Alto
WWE SmackDown vs. Raw 2010,PS2,2009.0,Fighting,THQ,0.53,0.01,0.0,0.54,1.07,Muy Alto
The Biggest Loser,Wii,2009.0,Sports,THQ,0.86,0.12,0.0,0.09,1.07,Muy Alto
Marvel vs. Capcom 3: Fate of Two Worlds,X360,2011.0,Fighting,Capcom,0.79,0.18,0.03,0.07,1.07,Muy Alto
Tomb Raider: Underworld,X360,2008.0,Action,Eidos Interactive,0.53,0.42,0.01,0.11,1.07,Muy Alto
NHL 99,PS,1997.0,Sports,Electronic Arts,0.59,0.4,0.0,0.07,1.07,Muy Alto
Pro Evolution Soccer 2008,X360,2007.0,Sports,Konami Digital Entertainment,0.08,0.9,0.04,0.05,1.07,Muy Alto
SoulCalibur III,PS2,2005.0,Fighting,Namco Bandai Games,0.74,0.15,0.13,0.05,1.07,Muy Alto
Tiger Woods PGA Tour 10,Wii,2009.0,Sports,Electronic Arts,0.6,0.36,0.0,0.11,1.07,Muy Alto
MySims Agents,DS,2009.0,Adventure,Electronic Arts,0.54,0.42,0.0,0.11,1.07,Muy Alto
Ridge Racer Revolution,PS,1995.0,Racing,Sony Computer Entertainment,0.17,0.12,0.71,0.07,1.07,Muy Alto
World Tour Soccer,PSP,2005.0,Sports,Sony Computer Entertainment,0.1,0.63,0.0,0.34,1.07,Muy Alto
Naruto: Ultimate Ninja Storm,PS3,2008.0,Fighting,Namco Bandai Games,0.49,0.34,0.09,0.15,1.07,Muy Alto
Red Dead Redemption: Undead Nightmare,X360,2010.0,Action,Take-Two Interactive,0.57,0.38,0.02,0.1,1.07,Muy Alto
Lightning Returns: Final Fantasy XIII,PS3,2013.0,Role-Playing,Square Enix,0.31,0.2,0.45,0.11,1.07,Muy Alto
Hot Wheels Turbo Racing,PS,1999.0,Racing,Electronic Arts,0.59,0.4,0.0,0.07,1.07,Muy Alto
NCAA Football 99,PS,1998.0,Sports,Electronic Arts,0.59,0.4,0.0,0.07,1.06,Muy Alto
Mortal Kombat: Armageddon,PS2,2006.0,Fighting,Midway Games,0.88,0.04,0.0,0.14,1.06,Muy Alto
Freekstyle,PS2,2002.0,Racing,Electronic Arts,0.52,0.41,0.0,0.14,1.06,Muy Alto
Grand Theft Auto: Chinatown Wars,PSP,2009.0,Action,Take-Two Interactive,0.28,0.49,0.03,0.27,1.06,Muy Alto
Spore Creatures,DS,2008.0,Simulation,Electronic Arts,0.66,0.3,0.0,0.1,1.06,Muy Alto
The Orange Box,PS3,2007.0,Shooter,Electronic Arts,0.28,0.58,0.0,0.21,1.06,Muy Alto
Simple 1500 Series Vol. 1: The Mahjong,PS,1998.0,Misc,D3Publisher,0.0,0.0,0.99,0.07,1.06,Muy Alto
DJ Hero,X360,2009.0,Misc,Activision,0.56,0.39,0.0,0.11,1.06,Muy Alto
Bully: Scholarship Edition,X360,2008.0,Action,Take-Two Interactive,0.53,0.4,0.03,0.11,1.06,Muy Alto
NBA Street V3,PS2,2005.0,Sports,Electronic Arts,0.52,0.41,0.0,0.14,1.06,Muy Alto
Worms Armageddon,PS,1999.0,Strategy,Microprose,0.18,0.81,0.0,0.08,1.06,Muy Alto
Hulk,PS2,2003.0,Action,Universal Interactive,0.52,0.41,0.0,0.14,1.06,Muy Alto
Overwatch,XOne,2016.0,Shooter,Activision,0.63,0.33,0.0,0.1,1.06,Muy Alto
NFL Quarterback Club 98,N64,1997.0,Sports,Acclaim Entertainment,1.01,0.05,0.0,0.01,1.06,Muy Alto
NFL Blitz,N64,1998.0,Sports,Midway Games,1.02,0.04,0.0,0.01,1.06,Muy Alto
Aliens vs Predator,X360,2010.0,Shooter,Sega,0.55,0.4,0.0,0.11,1.06,Muy Alto
Skylanders Giants,PS3,2012.0,Action,Activision,0.36,0.49,0.0,0.2,1.06,Muy Alto
Diablo II: Lord of Destruction,PC,2001.0,Role-Playing,Vivendi Games,1.03,0.02,0.0,0.0,1.06,Muy Alto
Endless Ocean,Wii,2007.0,Adventure,Nintendo,0.43,0.46,0.09,0.09,1.06,Muy Alto
Spider-Man 2,GBA,2004.0,Action,Activision,0.76,0.28,0.0,0.02,1.06,Muy Alto
Seek and Destroy,PS2,2002.0,Racing,Play It,0.52,0.4,0.0,0.14,1.06,Muy Alto
Darksiders,X360,2010.0,Action,THQ,0.67,0.28,0.01,0.1,1.06,Muy Alto
Mercenaries 2: World in Flames,X360,2008.0,Shooter,Electronic Arts,0.65,0.3,0.01,0.1,1.06,Muy Alto
LEGO Marvel Super Heroes,XOne,2013.0,Action,Warner Bros. Interactive Entertainment,0.61,0.35,0.0,0.09,1.06,Muy Alto
Warhawk,PS3,2007.0,Simulation,Sony Computer Entertainment,0.49,0.39,0.0,0.17,1.06,Muy Alto
DiRT 3,PS3,2011.0,Racing,Codemasters,0.27,0.57,0.01,0.2,1.06,Muy Alto
Sega Superstars Tennis,Wii,2008.0,Sports,Sega,0.28,0.65,0.0,0.13,1.05,Muy Alto
DiRT,PS3,2007.0,Racing,Codemasters,0.16,0.66,0.0,0.23,1.05,Muy Alto
Call of Duty 4: Modern Warfare,DS,2007.0,Shooter,Activision,0.95,0.01,0.01,0.08,1.05,Muy Alto
Cosmic Ark,2600,1981.0,Shooter,Imagic,0.99,0.05,0.0,0.01,1.05,Muy Alto
Resident Evil: The Darkside Chronicles,Wii,2009.0,Action,Capcom,0.46,0.31,0.2,0.09,1.05,Muy Alto
SOCOM: U.S. Navy SEALs Fireteam Bravo 2,PSP,2006.0,Shooter,Sony Computer Entertainment,0.81,0.11,0.0,0.13,1.05,Muy Alto
Defender,2600,1980.0,Misc,Atari,0.99,0.05,0.0,0.01,1.05,Muy Alto
Dora the Explorer: Dora Saves the Mermaids,DS,2007.0,Platform,Take-Two Interactive,0.97,0.01,0.0,0.07,1.05,Muy Alto
Arc the Lad II,PS,1996.0,Role-Playing,Sony Computer Entertainment,0.0,0.0,0.92,0.13,1.05,Muy Alto
Tag Team Match M.U.S.C.L.E.,NES,1985.0,Fighting,Namco Bandai Games,0.0,0.0,1.05,0.0,1.05,Muy Alto
Derby Stallion 96,SNES,1996.0,Sports,ASCII Entertainment,0.0,0.0,1.04,0.01,1.05,Muy Alto
Adventure Island,NES,1986.0,Platform,Hudson Soft,0.0,0.0,1.05,0.0,1.05,Muy Alto
NBA 2K3,PS2,2002.0,Sports,Sega,0.51,0.4,0.0,0.13,1.05,Muy Alto
LEGO The Lord of the Rings,PS3,2012.0,Action,Warner Bros. Interactive Entertainment,0.37,0.49,0.0,0.19,1.05,Muy Alto
The Simpsons: Road Rage,XB,2001.0,Racing,Electronic Arts,0.78,0.26,0.0,0.01,1.05,Muy Alto
Dave Mirra Freestyle BMX,PS,2000.0,Sports,Acclaim Entertainment,0.91,0.11,0.0,0.03,1.05,Muy Alto
EA Sports UFC,PS4,2014.0,Sports,Electronic Arts,0.46,0.41,0.01,0.17,1.05,Muy Alto
